z,tip,sleeve
18,14.4583,1036.1232
18.025,13.6631,992.6482
18.05,14.0052,917.8596
18.075,15.0557,819.131
18.1,15.8492,741.9485
18.125,16.4224,662.5634
18.15,16.7372,584.4233
18.175,15.8849,531.3722
18.2,14.7468,497.569
18.225,14.6896,511.8372
18.25,14.6323,518.5404
18.275,13.7342,518.6362
18.3,13.2998,544.2998
18.325,13.5458,551.1946
18.35,13.9812,572.9321
18.375,14.3626,586.147
18.4,15.8837,588.2537
18.425,17.5741,587.2003
18.45,17.9707,573.6982
18.475,18.5339,567.9526
18.5,19.6744,574.4642
18.525,22.2174,619.663
18.55,24.1034,661.3186
18.575,26.7837,724.5202
18.6,28.7916,781.5931
18.625,30.356,815.7794
18.65,31.2438,834.4526
18.675,31.6267,837.9958
18.7,31.2219,840.5813
18.725,30.529,848.8166
18.75,30.0144,850.5403
18.775,29.6556,861.0739
18.8,29.0036,886.9291
18.825,27.9299,914.6995
18.85,25.1885,946.9706
18.875,24.1711,945.247
18.9,23.6958,933.3727
18.925,20.7179,922.073
18.95,17.8603,924.3713
18.975,14.4788,915.0826
19,12.5637,866.3407
19.025,12.4912,845.9438
19.05,12.843,841.8262
19.075,14.0833,851.6894
19.1,15.0206,885.4927
19.125,14.4734,925.3289
19.15,13.1607,943.1402
19.175,13.5813,942.853
19.2,17.4787,930.883
19.225,18.3747,872.7566
19.25,18.2182,804.384
19.275,17.8124,707.6664
19.3,17.5442,608.5548
19.325,17.1115,527.4461
19.35,16.5752,457.3498
19.375,16.0499,437.9105
19.4,15.6015,428.2387
19.425,14.9614,431.8776
19.45,13.7248,445.7628
19.475,11.4837,445.284
19.5,10.3694,479.9491
19.525,10.9798,512.0287
19.55,13.8055,519.6895
19.575,20.6604,548.3218
19.6,27.5691,598.9788
19.625,30.5865,641.7835
19.65,31.3469,664.7659
19.675,31.4693,646.2842
19.7,30.6296,642.9326
19.725,29.9681,650.5934
19.75,29.3226,666.2023
19.775,28.6444,663.521
19.8,28.1551,635.3676
19.825,27.5931,609.1294
19.85,26.671,562.4942
19.875,25.577,522.9454
19.9,24.3349,482.7262
19.925,22.8626,436.3783
19.95,20.0577,393.6694
19.975,16.5077,394.1482
20,12.9933,387.445
20.025,10.4528,368.293
20.05,9.3171,370.3039
20.075,8.0093,389.4559
20.1,9.047,408.5122
20.125,12.8454,448.7314
20.15,16.854,484.8329
20.175,19.2582,535.3942
20.2,20.1494,638.3362
20.225,20.5572,648.5825
20.25,21.2392,509.7305
20.275,22.3778,440.6875
20.3,25.3635,332.6702
20.325,29.3274,268.511
20.35,33.5511,244.3795
20.375,35.3178,232.3138
20.4,30.8481,299.3458
20.425,27.7678,353.3544
20.45,26.458,352.6841
20.475,25.5768,364.271
20.5,21.0937,460.6056
20.525,17.3847,526.5842
20.55,15.0715,591.2222
20.575,13.6886,620.8121
20.6,10.3224,611.3318
20.625,8.6408,590.935
20.65,9.2153,580.4014
20.675,11.655,544.7786
20.7,15.347,521.509
20.725,17.1682,483.7795
20.75,18.2957,473.2459
20.775,18.9594,484.8329
20.8,19.9967,469.3198
20.825,22.254,395.01
20.85,26.8886,374.7089
20.875,32.555,354.4078
20.9,40.6826,268.2238
20.925,42.4218,230.1113
20.95,44.8765,181.0822
20.975,43.9168,211.8211
21,40.4794,302.027
21.025,35.8594,310.9327
21.05,33.949,321.2748
21.075,28.1202,335.16
21.1,24.6776,349.0452
21.125,23.7596,398.2658
21.15,21.5306,485.3117
21.175,23.8422,524.669
21.2,26.154,424.5041
21.225,36.149,324.3391
21.25,42.1968,332.766
21.275,43.1039,377.5817
21.3,44.6026,396.9252
21.325,46.1013,305.5702
21.35,46.1759,400.4683
21.375,43.7219,307.1981
21.4,44.2933,283.9284
21.425,36.618,262.7654
21.45,36.4206,282.7793
21.475,21.4157,394.4354
21.5,16.9135,426.0362
21.525,15.9181,351.4392
21.55,11.8496,363.4092
21.575,6.2425,350.5774
21.6,4.8101,293.8874
21.625,4.6684,328.7441
21.65,9.034,240.4534
21.675,20.7223,461.5632
21.7,22.9154,511.933
21.725,26.3138,418.0882
21.75,27.2278,382.9442
21.775,33.457,561.9197
21.8,32.1191,563.6434
21.825,26.8641,665.915
21.85,19.2734,626.7492
21.875,11.9258,578.1031
21.9,8.9112,506.4746
21.925,6.4859,434.3674
21.95,6.8634,361.3025
21.975,8.635,273.3948
22,9.1678,263.1485
22.025,8.7678,270.139
22.05,7.1045,248.1142
22.075,5.559,222.5462
22.1,4.9058,195.3504
22.125,4.3088,174.0917
22.15,4.5907,155.1312
22.175,4.3419,132.9149
22.2,4.0733,116.0611
22.225,3.9585,99.3989
22.25,3.8314,85.7052
22.275,3.7085,80.3426
22.3,3.5597,77.4698
